/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=33000 loss=0.037788 time=0.031271 fft=0.007681
step=33000 val_loss=0.035169
step=33100 loss=0.037546 time=0.031028 fft=0.007682
step=33200 loss=0.031878 time=0.026219 fft=0.006669
step=33300 loss=0.035190 time=0.029071 fft=0.007211
step=33400 loss=0.039574 time=0.032679 fft=0.008125
step=33500 loss=0.039159 time=0.032297 fft=0.008087
step=33600 loss=0.035606 time=0.029383 fft=0.007334
step=33700 loss=0.034209 time=0.028295 fft=0.006969
step=33800 loss=0.033275 time=0.027483 fft=0.006826
step=33900 loss=0.035487 time=0.029328 fft=0.007259
step=34000 loss=0.035890 time=0.029632 fft=0.007376
step=34000 val_loss=0.035134
step=34100 loss=0.039204 time=0.032288 fft=0.008151
step=34200 loss=0.034902 time=0.028767 fft=0.007229
step=34300 loss=0.035877 time=0.029820 fft=0.007138
step=34400 loss=0.036633 time=0.030265 fft=0.007505
step=34500 loss=0.035117 time=0.028833 fft=0.007406
step=34600 loss=0.035821 time=0.029535 fft=0.007408
step=34700 loss=0.041565 time=0.034278 fft=0.008589
step=34800 loss=0.036908 time=0.030503 fft=0.007549
step=34900 loss=0.036153 time=0.029795 fft=0.007493
step=35000 loss=0.037706 time=0.031039 fft=0.007857
step=35000 val_loss=0.034171
step=35100 loss=0.038192 time=0.031545 fft=0.007833
step=35200 loss=0.038239 time=0.031594 fft=0.007831
step=35300 loss=0.035963 time=0.029654 fft=0.007434
step=35400 loss=0.034957 time=0.028854 fft=0.007192
step=35500 loss=0.035359 time=0.029133 fft=0.007338
step=35600 loss=0.038211 time=0.031628 fft=0.007758
step=35700 loss=0.034475 time=0.028358 fft=0.007210
step=35800 loss=0.035303 time=0.029163 fft=0.007237
step=35900 loss=0.037429 time=0.031050 fft=0.007517
step=36000 loss=0.035705 time=0.029455 fft=0.007366
step=36000 val_loss=0.034920
step=36100 loss=0.030785 time=0.025372 fft=0.006379
step=36200 loss=0.037349 time=0.030853 fft=0.007656
step=36300 loss=0.041185 time=0.034257 fft=0.008164
step=36400 loss=0.037149 time=0.030931 fft=0.007328
step=36500 loss=0.039708 time=0.032758 fft=0.008191
step=36600 loss=0.032314 time=0.026807 fft=0.006490
step=36700 loss=0.038016 time=0.031337 fft=0.007871
step=36800 loss=0.036266 time=0.029995 fft=0.007390
step=36900 loss=0.033699 time=0.027814 fft=0.006935
step=37000 loss=0.034906 time=0.028795 fft=0.007202
step=37000 val_loss=0.034434
step=37100 loss=0.037455 time=0.030846 fft=0.007790
step=37200 loss=0.037432 time=0.030847 fft=0.007760
step=37300 loss=0.040950 time=0.034010 fft=0.008179
step=37400 loss=0.035364 time=0.029029 fft=0.007466
step=37500 loss=0.034921 time=0.028651 fft=0.007390
step=37600 loss=0.034883 time=0.028776 fft=0.007197
step=37700 loss=0.037057 time=0.030505 fft=0.007721
step=37800 loss=0.038386 time=0.031713 fft=0.007864
step=37900 loss=0.035646 time=0.029321 fft=0.007455
step=38000 loss=0.033609 time=0.027819 fft=0.006824
step=38000 val_loss=0.035495
step=38100 loss=0.043217 time=0.035634 fft=0.008936
step=38200 loss=0.036221 time=0.029836 fft=0.007526
step=38300 loss=0.035199 time=0.029034 fft=0.007266
step=38400 loss=0.040675 time=0.033792 fft=0.008112
step=38500 loss=0.035615 time=0.029316 fft=0.007424
step=38600 loss=0.036146 time=0.029842 fft=0.007430
step=38700 loss=0.034782 time=0.028626 fft=0.007255
step=38800 loss=0.036272 time=0.030050 fft=0.007332
step=38900 loss=0.032632 time=0.026839 fft=0.006826
step=39000 loss=0.035825 time=0.029657 fft=0.007269
step=39000 val_loss=0.034400
step=39100 loss=0.038912 time=0.032186 fft=0.007927
step=39200 loss=0.037593 time=0.030895 fft=0.007893
step=39300 loss=0.032349 time=0.026782 fft=0.006561
step=39400 loss=0.036129 time=0.029913 fft=0.007325
step=39500 loss=0.040306 time=0.033434 fft=0.008099
step=39600 loss=0.036491 time=0.030286 fft=0.007313
step=39700 loss=0.039746 time=0.032829 fft=0.008152
step=39800 loss=0.032359 time=0.026593 fft=0.006795
step=39900 loss=0.033245 time=0.027576 fft=0.006681
step=40000 loss=0.035773 time=0.029577 fft=0.007303
step=40000 val_loss=0.035232
step=40100 loss=0.040130 time=0.033163 fft=0.008211
step=40200 loss=0.042769 time=0.035553 fft=0.008504
step=40300 loss=0.038987 time=0.032312 fft=0.007866
step=40400 loss=0.034582 time=0.028686 fft=0.006948
step=40500 loss=0.036818 time=0.030263 fft=0.007725
step=40600 loss=0.035016 time=0.028868 fft=0.007246
step=40700 loss=0.036455 time=0.030205 fft=0.007365
step=40800 loss=0.033116 time=0.027051 fft=0.007148
step=40900 loss=0.033204 time=0.027559 fft=0.006652
step=41000 loss=0.039194 time=0.032547 fft=0.007833
step=41000 val_loss=0.035271
step=41100 loss=0.039110 time=0.032400 fft=0.007907
step=41200 loss=0.038738 time=0.031893 fft=0.008067
step=41300 loss=0.032018 time=0.026350 fft=0.006680
step=41400 loss=0.040099 time=0.033037 fft=0.008322
step=41500 loss=0.035218 time=0.029146 fft=0.007155
step=41600 loss=0.037253 time=0.030940 fft=0.007440
step=41700 loss=0.041734 time=0.034749 fft=0.008232
step=41800 loss=0.041080 time=0.034153 fft=0.008164
step=41900 loss=0.038255 time=0.031782 fft=0.007629
step=42000 loss=0.036990 time=0.030500 fft=0.007649
step=42000 val_loss=0.035217
step=42100 loss=0.032848 time=0.027138 fft=0.006730
step=42200 loss=0.037310 time=0.030871 fft=0.007588
step=42300 loss=0.040210 time=0.033117 fft=0.008358
step=42400 loss=0.042177 time=0.034765 fft=0.008736
step=42500 loss=0.036530 time=0.030220 fft=0.007436
step=42600 loss=0.036782 time=0.030443 fft=0.007470
step=42700 loss=0.039738 time=0.032946 fft=0.008005
step=42800 loss=0.034327 time=0.028299 fft=0.007105
step=42900 loss=0.035749 time=0.029619 fft=0.007225
step=43000 loss=0.036010 time=0.029777 fft=0.007346
step=43000 val_loss=0.034836
step=43100 loss=0.034261 time=0.028167 fft=0.007182
step=43200 loss=0.035415 time=0.029241 fft=0.007276
step=43300 loss=0.036468 time=0.030260 fft=0.007316
step=43400 loss=0.036054 time=0.029809 fft=0.007360
step=43500 loss=0.033571 time=0.027574 fft=0.007069
step=43600 loss=0.040682 time=0.033755 fft=0.008164
step=43700 loss=0.036032 time=0.029728 fft=0.007430
step=43800 loss=0.033818 time=0.027907 fft=0.006966
step=43900 loss=0.035473 time=0.029478 fft=0.007066
step=44000 loss=0.036262 time=0.029793 fft=0.007623
step=44000 val_loss=0.034634
step=44100 loss=0.041843 time=0.034608 fft=0.008526
step=44200 loss=0.035020 time=0.028878 fft=0.007239
step=44300 loss=0.035943 time=0.029682 fft=0.007378
step=44400 loss=0.036860 time=0.030420 fft=0.007590
step=44500 loss=0.040089 time=0.032930 fft=0.008437
step=44600 loss=0.036474 time=0.029958 fft=0.007679
step=44700 loss=0.035692 time=0.029551 fft=0.007237
step=44800 loss=0.037401 time=0.031005 fft=0.007537
step=44900 loss=0.035097 time=0.029043 fft=0.007134
step=45000 loss=0.035546 time=0.029476 fft=0.007154
step=45000 val_loss=0.035215
Finished 45000 steps on cuda; checkpoints: outputs/expanded_2023_2026_glm
