/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=5740 loss=0.089066 time=0.074566 fft=0.017089
step=5760 loss=0.083557 time=0.069916 fft=0.016076
step=5780 loss=0.078017 time=0.065281 fft=0.015010
step=5800 loss=0.092378 time=0.077244 fft=0.017836
step=5820 loss=0.081414 time=0.068361 fft=0.015383
step=5840 loss=0.077908 time=0.065175 fft=0.015006
step=5860 loss=0.089494 time=0.074768 fft=0.017355
step=5880 loss=0.078749 time=0.065712 fft=0.015364
step=5900 loss=0.082988 time=0.069240 fft=0.016203
step=5920 loss=0.086091 time=0.072028 fft=0.016574
step=5940 loss=0.082155 time=0.068489 fft=0.016106
step=5960 loss=0.077665 time=0.064931 fft=0.015007
step=5980 loss=0.085377 time=0.071199 fft=0.016710
step=6000 loss=0.084853 time=0.070761 fft=0.016607
step=6000 val_loss=0.081560
step=6020 loss=0.090740 time=0.076244 fft=0.017083
step=6040 loss=0.081077 time=0.068305 fft=0.015052
step=6060 loss=0.074217 time=0.062451 fft=0.013867
step=6080 loss=0.071632 time=0.060031 fft=0.013672
step=6100 loss=0.078267 time=0.065616 fft=0.014910
step=6120 loss=0.085346 time=0.071331 fft=0.016517
step=6140 loss=0.088878 time=0.074385 fft=0.017081
step=6160 loss=0.079958 time=0.066410 fft=0.015966
step=6180 loss=0.081859 time=0.068254 fft=0.016034
step=6200 loss=0.091789 time=0.076805 fft=0.017659
step=6220 loss=0.084668 time=0.070692 fft=0.016471
step=6240 loss=0.082717 time=0.068944 fft=0.016231
step=6260 loss=0.077824 time=0.065091 fft=0.015006
step=6280 loss=0.088178 time=0.073987 fft=0.016724
step=6300 loss=0.085206 time=0.071213 fft=0.016491
step=6320 loss=0.081213 time=0.067890 fft=0.015701
step=6340 loss=0.083553 time=0.070000 fft=0.015972
step=6360 loss=0.084797 time=0.070745 fft=0.016561
step=6380 loss=0.087502 time=0.073513 fft=0.016486
step=6400 loss=0.081926 time=0.068385 fft=0.015958
step=6420 loss=0.089496 time=0.074497 fft=0.017677
step=6440 loss=0.090471 time=0.075719 fft=0.017385
step=6460 loss=0.070504 time=0.059236 fft=0.013280
step=6480 loss=0.088575 time=0.074629 fft=0.016436
step=6500 loss=0.080627 time=0.067434 fft=0.015548
step=6500 val_loss=0.082327
step=6520 loss=0.083524 time=0.069638 fft=0.016364
step=6540 loss=0.080666 time=0.067570 fft=0.015433
step=6560 loss=0.089882 time=0.075274 fft=0.017215
step=6580 loss=0.084493 time=0.070475 fft=0.016521
step=6600 loss=0.079242 time=0.066054 fft=0.015542
step=6620 loss=0.085932 time=0.071996 fft=0.016423
step=6640 loss=0.088049 time=0.073521 fft=0.017121
step=6660 loss=0.085202 time=0.071390 fft=0.016277
step=6680 loss=0.079126 time=0.066210 fft=0.015222
step=6700 loss=0.080028 time=0.067048 fft=0.015298
step=6720 loss=0.077680 time=0.064883 fft=0.015081
step=6740 loss=0.081169 time=0.067981 fft=0.015543
step=6760 loss=0.079048 time=0.066169 fft=0.015178
